f,h,a,b_h,l_h,s,b_a,l_a
rey_tok,Kashiwa Reysol,FC Tokyo,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_tok.jpg,512_tok.png
rey_gam,Kashiwa Reysol,Gamba Osaka,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_gam.jpg,512_gam.png
rey_hok,Kashiwa Reysol,Hokkaido Consadole Sapporo,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_hok.jpg,512_hok.png
rey_ant,Kashiwa Reysol,Kashima Antlers,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_ant.jpg,512_ant.png
rey_fro,Kashiwa Reysol,Kawasaki Frontale,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_fro.jpg,512_fro.png
rey_nag,Kashiwa Reysol,Nagoya Grampus,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_nag.jpg,512_nag.png
rey_oit,Kashiwa Reysol,Oita Trinita,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_oit.jpg,512_oit.png
rey_sag,Kashiwa Reysol,Sagan Tosu,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_sag.jpg,512_sag.png
rey_hir,Kashiwa Reysol,Sanfrecce Hiroshima,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_hir.jpg,512_hir.png
rey_ssp,Kashiwa Reysol,Shimizu S-Pulse,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_ssp.jpg,512_ssp.png
rey_sho,Kashiwa Reysol,Shonan Bellmare,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_sho.jpg,512_sho.png
rey_ura,Kashiwa Reysol,Urawa Red Diamonds,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_ura.jpg,512_ura.png
rey_veg,Kashiwa Reysol,Vegalta Sendai,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_veg.jpg,512_veg.png
rey_vis,Kashiwa Reysol,Vissel Kobe,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_vis.jpg,512_vis.png
rey_yfm,Kashiwa Reysol,Yokohama F. Marinos,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_yfm.jpg,512_yfm.png
rey_yok,Kashiwa Reysol,Yokohama FC,banner_rey.jpg,512_rey.png,stad_rey.jpg,banner_yok.jpg,512_yok.png
fro_crz,Kawasaki Frontale,Cerezo Osaka,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_crz.jpg,512_crz.png
fro_tok,Kawasaki Frontale,FC Tokyo,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_tok.jpg,512_tok.png
fro_gam,Kawasaki Frontale,Gamba Osaka,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_gam.jpg,512_gam.png
fro_hok,Kawasaki Frontale,Hokkaido Consadole Sapporo,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_hok.jpg,512_hok.png
fro_ant,Kawasaki Frontale,Kashima Antlers,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_ant.jpg,512_ant.png
fro_rey,Kawasaki Frontale,Kashiwa Reysol,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_rey.jpg,512_rey.png
fro_nag,Kawasaki Frontale,Nagoya Grampus,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_nag.jpg,512_nag.png
fro_oit,Kawasaki Frontale,Oita Trinita,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_oit.jpg,512_oit.png
fro_sag,Kawasaki Frontale,Sagan Tosu,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_sag.jpg,512_sag.png
fro_hir,Kawasaki Frontale,Sanfrecce Hiroshima,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_hir.jpg,512_hir.png
fro_ssp,Kawasaki Frontale,Shimizu S-Pulse,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_ssp.jpg,512_ssp.png
fro_sho,Kawasaki Frontale,Shonan Bellmare,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_sho.jpg,512_sho.png
fro_ura,Kawasaki Frontale,Urawa Red Diamonds,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_ura.jpg,512_ura.png
fro_veg,Kawasaki Frontale,Vegalta Sendai,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_veg.jpg,512_veg.png
fro_vis,Kawasaki Frontale,Vissel Kobe,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_vis.jpg,512_vis.png
fro_yfm,Kawasaki Frontale,Yokohama F. Marinos,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_yfm.jpg,512_yfm.png
fro_yok,Kawasaki Frontale,Yokohama FC,banner_fro.jpg,512_fro.png,stad_fro.jpg,banner_yok.jpg,512_yok.png
nag_crz,Nagoya Grampus,Cerezo Osaka,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_crz.jpg,512_crz.png
nag_tok,Nagoya Grampus,FC Tokyo,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_tok.jpg,512_tok.png
nag_gam,Nagoya Grampus,Gamba Osaka,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_gam.jpg,512_gam.png
nag_hok,Nagoya Grampus,Hokkaido Consadole Sapporo,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_hok.jpg,512_hok.png
nag_ant,Nagoya Grampus,Kashima Antlers,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_ant.jpg,512_ant.png
nag_rey,Nagoya Grampus,Kashiwa Reysol,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_rey.jpg,512_rey.png
nag_fro,Nagoya Grampus,Kawasaki Frontale,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_fro.jpg,512_fro.png
nag_oit,Nagoya Grampus,Oita Trinita,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_oit.jpg,512_oit.png
nag_sag,Nagoya Grampus,Sagan Tosu,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_sag.jpg,512_sag.png
nag_hir,Nagoya Grampus,Sanfrecce Hiroshima,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_hir.jpg,512_hir.png
nag_ssp,Nagoya Grampus,Shimizu S-Pulse,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_ssp.jpg,512_ssp.png
nag_sho,Nagoya Grampus,Shonan Bellmare,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_sho.jpg,512_sho.png
nag_ura,Nagoya Grampus,Urawa Red Diamonds,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_ura.jpg,512_ura.png
nag_veg,Nagoya Grampus,Vegalta Sendai,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_veg.jpg,512_veg.png
nag_vis,Nagoya Grampus,Vissel Kobe,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_vis.jpg,512_vis.png
nag_yfm,Nagoya Grampus,Yokohama F. Marinos,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_yfm.jpg,512_yfm.png
nag_yok,Nagoya Grampus,Yokohama FC,banner_nag.jpg,512_nag.png,stad_nag.jpg,banner_yok.jpg,512_yok.png
oit_crz,Oita Trinita,Cerezo Osaka,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_crz.jpg,512_crz.png
oit_tok,Oita Trinita,FC Tokyo,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_tok.jpg,512_tok.png
oit_gam,Oita Trinita,Gamba Osaka,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_gam.jpg,512_gam.png
oit_hok,Oita Trinita,Hokkaido Consadole Sapporo,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_hok.jpg,512_hok.png
oit_ant,Oita Trinita,Kashima Antlers,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_ant.jpg,512_ant.png
oit_rey,Oita Trinita,Kashiwa Reysol,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_rey.jpg,512_rey.png
oit_fro,Oita Trinita,Kawasaki Frontale,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_fro.jpg,512_fro.png
oit_nag,Oita Trinita,Nagoya Grampus,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_nag.jpg,512_nag.png
oit_sag,Oita Trinita,Sagan Tosu,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_sag.jpg,512_sag.png
oit_hir,Oita Trinita,Sanfrecce Hiroshima,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_hir.jpg,512_hir.png
oit_ssp,Oita Trinita,Shimizu S-Pulse,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_ssp.jpg,512_ssp.png
oit_sho,Oita Trinita,Shonan Bellmare,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_sho.jpg,512_sho.png
oit_ura,Oita Trinita,Urawa Red Diamonds,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_ura.jpg,512_ura.png
oit_veg,Oita Trinita,Vegalta Sendai,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_veg.jpg,512_veg.png
oit_vis,Oita Trinita,Vissel Kobe,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_vis.jpg,512_vis.png
oit_yfm,Oita Trinita,Yokohama F. Marinos,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_yfm.jpg,512_yfm.png
oit_yok,Oita Trinita,Yokohama FC,banner_oit.jpg,512_oit.png,stad_oit.jpg,banner_yok.jpg,512_yok.png
sag_crz,Sagan Tosu,Cerezo Osaka,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_crz.jpg,512_crz.png
sag_tok,Sagan Tosu,FC Tokyo,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_tok.jpg,512_tok.png
sag_gam,Sagan Tosu,Gamba Osaka,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_gam.jpg,512_gam.png
sag_hok,Sagan Tosu,Hokkaido Consadole Sapporo,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_hok.jpg,512_hok.png
sag_ant,Sagan Tosu,Kashima Antlers,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_ant.jpg,512_ant.png
sag_rey,Sagan Tosu,Kashiwa Reysol,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_rey.jpg,512_rey.png
sag_fro,Sagan Tosu,Kawasaki Frontale,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_fro.jpg,512_fro.png
sag_nag,Sagan Tosu,Nagoya Grampus,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_nag.jpg,512_nag.png
sag_oit,Sagan Tosu,Oita Trinita,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_oit.jpg,512_oit.png
sag_hir,Sagan Tosu,Sanfrecce Hiroshima,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_hir.jpg,512_hir.png
sag_ssp,Sagan Tosu,Shimizu S-Pulse,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_ssp.jpg,512_ssp.png
sag_sho,Sagan Tosu,Shonan Bellmare,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_sho.jpg,512_sho.png
sag_ura,Sagan Tosu,Urawa Red Diamonds,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_ura.jpg,512_ura.png
sag_veg,Sagan Tosu,Vegalta Sendai,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_veg.jpg,512_veg.png
sag_vis,Sagan Tosu,Vissel Kobe,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_vis.jpg,512_vis.png
sag_yfm,Sagan Tosu,Yokohama F. Marinos,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_yfm.jpg,512_yfm.png
sag_yok,Sagan Tosu,Yokohama FC,banner_sag.jpg,512_sag.png,stad_sag.jpg,banner_yok.jpg,512_yok.png
hir_crz,Sanfrecce Hiroshima,Cerezo Osaka,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_crz.jpg,512_crz.png
hir_tok,Sanfrecce Hiroshima,FC Tokyo,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_tok.jpg,512_tok.png
hir_gam,Sanfrecce Hiroshima,Gamba Osaka,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_gam.jpg,512_gam.png
hir_hok,Sanfrecce Hiroshima,Hokkaido Consadole Sapporo,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_hok.jpg,512_hok.png
hir_ant,Sanfrecce Hiroshima,Kashima Antlers,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_ant.jpg,512_ant.png
hir_rey,Sanfrecce Hiroshima,Kashiwa Reysol,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_rey.jpg,512_rey.png
hir_fro,Sanfrecce Hiroshima,Kawasaki Frontale,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_fro.jpg,512_fro.png
hir_nag,Sanfrecce Hiroshima,Nagoya Grampus,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_nag.jpg,512_nag.png
hir_oit,Sanfrecce Hiroshima,Oita Trinita,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_oit.jpg,512_oit.png
hir_sag,Sanfrecce Hiroshima,Sagan Tosu,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_sag.jpg,512_sag.png
hir_ssp,Sanfrecce Hiroshima,Shimizu S-Pulse,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_ssp.jpg,512_ssp.png
hir_sho,Sanfrecce Hiroshima,Shonan Bellmare,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_sho.jpg,512_sho.png
hir_ura,Sanfrecce Hiroshima,Urawa Red Diamonds,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_ura.jpg,512_ura.png
hir_veg,Sanfrecce Hiroshima,Vegalta Sendai,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_veg.jpg,512_veg.png
hir_vis,Sanfrecce Hiroshima,Vissel Kobe,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_vis.jpg,512_vis.png
hir_yfm,Sanfrecce Hiroshima,Yokohama F. Marinos,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_yfm.jpg,512_yfm.png
hir_yok,Sanfrecce Hiroshima,Yokohama FC,banner_hir.jpg,512_hir.png,stad_hir.jpg,banner_yok.jpg,512_yok.png
ssp_crz,Shimizu S-Pulse,Cerezo Osaka,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_crz.jpg,512_crz.png
ssp_tok,Shimizu S-Pulse,FC Tokyo,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_tok.jpg,512_tok.png
ssp_gam,Shimizu S-Pulse,Gamba Osaka,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_gam.jpg,512_gam.png
ssp_hok,Shimizu S-Pulse,Hokkaido Consadole Sapporo,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_hok.jpg,512_hok.png
ssp_ant,Shimizu S-Pulse,Kashima Antlers,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_ant.jpg,512_ant.png
ssp_rey,Shimizu S-Pulse,Kashiwa Reysol,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_rey.jpg,512_rey.png
ssp_fro,Shimizu S-Pulse,Kawasaki Frontale,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_fro.jpg,512_fro.png
ssp_nag,Shimizu S-Pulse,Nagoya Grampus,banner_ssp.jpg,512_ssp.png,stad_ssp.jpg,banner_nag.jpg,512_nag.png
